DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT,BALANCES
10/01,,,,BEGINNING BALANCE,,,191.39
10/03,Cash,DIVIDEND,,GOLDMAN SACHS FINL,,10.24,
"",,,,SQUARE GOVT FD,,,
"",,,,"093016 69,056.74000",,,
"",,,,AS OF 9/30/16,,,
"",,,,CUSTOMCHOICE,,,001 PPR2 P31X
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT,BALANCES
10/03,Cash,DIVIDEND,,PRUDENTIAL SHORT-TERM,,158.92,
"",,,,CORPORATE BD FD INC,,,
"",,,,CLASS Z,,,
"",,,,"093016 6,160.28000",,,
"",,,,AS OF 9/30/16,,,
10/03,Cash,DIVIDEND,,PRUDENTIAL INVT PORT,,55.01,
"",,,,INC 17 TOTAL RETURN BD,,,
"",,,,FD CL Z,,,
"",,,,"093016 1,556.38600",,,
"",,,,AS OF 9/30/16,,,
10/03,Cash,DIVIDEND,,PRUDENTIAL FUNDS,,44.88,
"",,,,PRUDENTIAL CORE BOND FD,,,
"",,,,CLASS Z,,,
"",,,,"093016 2,254.54600",,,
"",,,,AS OF 9/30/16,,,
10/03,Cash,REINVEST DIV,10.24000,GOLDMAN SACHS FINL,,-10.24,
"",,,,SQUARE GOVT FD,,,
"",,,,REINVEST AT 1.000,,,
10/03,Cash,REINVEST DIV,14.18900,PRUDENTIAL SHORT-TERM,,-158.92,
"",,,,CORPORATE BD FD INC,,,
"",,,,CLASS Z,,,
"",,,,REINVEST AT 11.200,,,
10/03,Cash,REINVEST DIV,3.72400,PRUDENTIAL INVT PORT,,-55.01,
"",,,,INC 17 TOTAL RETURN BD,,,
"",,,,FD CL Z,,,
"",,,,REINVEST AT 14.770,,,
10/03,Cash,REINVEST DIV,4.40400,PRUDENTIAL FUNDS,,-44.88,
"",,,,PRUDENTIAL CORE BOND FD,,,
"",,,,CLASS Z,,,
"",,,,REINVEST AT 10.190,,,191.39
10/04,Cash,DIVIDEND,,GOLDMAN SACHS TR FINL,,7.61,
"",,,,SQUARE MONEY MKT FD,,,
"",,,,INSTL CLASS,,,
"",,,,"093016 70,938",,,
"",,,,AS OF 9/30/16,,,
10/04,Cash,SALE,-26.39000,DIAMOND HILL FDS,23.2600,613.82,
"",,,,LARGE CAP FD CL I SHS,,,
10/04,Cash,SALE,"-1,419.58000",GOLDMAN SACHS FINL,1.0000,"1,419.58",
"",,,,SQUARE GOVT FD,,,
"",,,,CUSTOMCHOICE,,,001 PPR2 P31X
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT,BALANCES
10/04,Cash,SALE,-134.64300,PRUDENTIAL SHORT-TERM,11.1900,"1,506.65",
"",,,,CORPORATE BD FD INC,,,
"",,,,CLASS Z,,,
10/04,Cash,SALE,-33.53900,PRUDENTIAL INVT PORT,14.7200,493.69,
"",,,,INC 17 TOTAL RETURN BD,,,
"",,,,FD CL Z,,,
10/04,Cash,SALE,-17.22500,PRUDENTIAL INVT PORT,31.7400,546.71,
"",,,,GROWTH FUND CLASS Z,,,
10/04,Cash,SALE,-46.21600,PRUDENTIAL FUNDS,10.1600,469.55,"5,249.00"
"",,,,PRUDENTIAL CORE BOND FD,,,
"",,,,CLASS Z,,,
10/06,Cash,JOURNAL,,TO 51800552,,"-5,052.18",196.82
"",,,,PIIC MASTER,,,
