DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,,AMOUNT
10/07,Cash,DIVIDEND,,ISHARES MBS ETF,,,106.15
"",,,,100716 672,,,
10/07,Cash,DIVIDEND,,ISHARES IBOXX $ ETF,,,115.72
"",,,,HIGH YIELD CORP BOND,,,
"",,,,100716 300,,,
10/07,Cash,DIVIDEND,,ISHARES ETF,,,60.97
"",,,,AGENCY BOND,,,
"",,,,100716 503,,,
10/07,Cash,DIVIDEND,,ISHARES ETF,,,132.15
"",,,,U.S. PREFERRED STOCK,,,
"",,,,100716 787,,,
10/07,Cash,DIVIDEND,,ISHARES IBOXX & ETF,,,123.87
"",,,,INVESTMENT GRADE CORP BD,,,
"",,,,100716 385,,,
10/07,Cash,DIVIDEND,,ISHARES JP MORGAN ETF,,,34.66
"",,,,USD EMERGING MAKETS BOND,,,
"",,,,100716 69,,,
10/07,Cash,DIVIDEND,,ISHARES CORE U.S. ETF,,,411.18
"",,,,AGGREGATE BOND,,,
"",,,,"100716 2,024",,,
10/07,Cash,DIVIDEND,,ISHARES ETF,,,24.73
"",,,,7-10 YR TREASURY BOND,,,
"",,,,100716 165,,,
10/07,Cash,DIVIDEND,,ISHARES ETF,,,151.64
"",,,,INTERMEDIATE CREDIT BOND,,,
"",,,,100716 685,,,
10/07,Cash,DIVIDEND,,ISHARES ETF,,,47.79
"",,,,1-3 YEAR CREDIT BOND,,,
"",,,,100716 362,,,
10/07,Cash,DIVIDEND,,VANGUARD TOTAL BOND,ETF,,70.80
"",,,,MARKET,,,
"",,,,100716 441,,,
10/11,Cash,DIVIDEND,,SPDR BARCLAYS ETF,,,84.61
"",,,,HIGH YIELD BOND ETF,,,
"",,,,101116 455,,,
"",,,,ALLOCATION ADVISORS/COMPASS ETF/ETF-CONSERVATIVE INCOME,,,001 9Q 9Q39
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,,PRICE,AMOUNT
10/31,Cash,DIVIDEND,,POWERSHARES EM MAR,ETF,,63.28
"",,,,SOV DE PT,,,
"",,,,103116 548,,,
10/31,Cash,INTEREST,,BANK DEPOSIT SWEEP,,,0.22
"",,,,"103116 25,211.69000",,,
