DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,,AMOUNT
12/07,Cash,LT CAP GAIN,,ISHARES MBS ETF,,,159.93
"",,,,120716 672,,,
12/07,Cash,DIVIDEND,,ISHARES MBS ETF,,,120.60
"",,,,120716 672,,,
12/07,Cash,DIVIDEND,,ISHARES IBOXX $ ETF,,,114.20
"",,,,HIGH YIELD CORP BOND,,,
"",,,,120716 300,,,
12/07,Cash,SHRT TRM GAIN,,ISHARES ETF,,,50.87
"",,,,AGENCY BOND,,,
"",,,,120716 503,,,
12/07,Cash,DIVIDEND,,ISHARES ETF,,,63.43
"",,,,AGENCY BOND,,,
"",,,,120716 503,,,
12/07,Cash,LT CAP GAIN,,ISHARES ETF,,,56.74
"",,,,AGENCY BOND,,,
"",,,,120716 503,,,
12/07,Cash,DIVIDEND,,ISHARES ETF,,,143.50
"",,,,U.S. PREFERRED STOCK,,,
"",,,,120716 787,,,
12/07,Cash,DIVIDEND,,ISHARES IBOXX & ETF,,,121.97
"",,,,INVESTMENT GRADE CORP BD,,,
"",,,,120716 385,,,
12/07,Cash,DIVIDEND,,ISHARES JP MORGAN ETF,,,30.74
"",,,,USD EMERGING MAKETS BOND,,,
"",,,,120716 69,,,
12/07,Cash,DIVIDEND,,ISHARES TIP BOND ETF,,,86.77
"",,,,120716 356,,,
12/07,Cash,DIVIDEND,,ISHARES CORE U.S. ETF,,,412.72
"",,,,AGGREGATE BOND,,,
"",,,,"120716 2,024",,,
12/07,Cash,DIVIDEND,,ISHARES ETF,,,24.65
"",,,,7-10 YR TREASURY BOND,,,
"",,,,120716 165,,,
12/07,Cash,DIVIDEND,,ISHARES ETF,,,152.07
"",,,,INTERMEDIATE CREDIT BOND,,,
"",,,,120716 685,,,
"",,,,ALLOCATION ADVISORS/COMPASS ETF/ETF-CONSERVATIVE INCOME,,,001 9Q 9Q39
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,,PRICE,,AMOUNT
12/07,Cash,DIVIDEND,,ISHARES ETF,,,,47.86
"",,,,1-3 YEAR CREDIT BOND,,,,
"",,,,120716 362,,,,
12/07,Cash,DIVIDEND,,VANGUARD TOTAL BOND,ETF,,,70.69
"",,,,MARKET,,,,
"",,,,120716 441,,,,
12/09,Cash,DIVIDEND,,SPDR BLOOMBERG,ETF,,,81.16
"",,,,BARCLAYS HIGH YIELD BOND,,,,
"",,,,ETF,,,,
"",,,,120916 455,,,,
12/28,Cash,DIVIDEND,,ISHARES CORE S&P MIDCAP,,,,95.46
"",,,,ETF,,,,
"",,,,122816 120,,,,
12/28,Cash,DIVIDEND,,ISHARES CORE S&P 500 ETF,,,,97.81
"",,,,S&P 500 INDEX FD,,,,
"",,,,122816 75,,,,
12/29,Cash,DIVIDEND,,ISHARES MBS ETF,,,,344.16
"",,,,122916 672,,,,
12/29,Cash,DIVIDEND,,ISHARES IBOXX $ ETF,,,,85.68
"",,,,HIGH YIELD CORP BOND,,,,
"",,,,122916 300,,,,
12/29,Cash,DIVIDEND,,ISHARES ETF,,,,71.44
"",,,,AGENCY BOND,,,,
"",,,,122916 503,,,,
12/29,Cash,DIVIDEND,,ISHARES ETF,,,,159.94
"",,,,U.S. PREFERRED STOCK,,,,
"",,,,122916 787,,,,
12/29,Cash,DIVIDEND,,ISHARES IBOXX & ETF,,,,122.31
"",,,,INVESTMENT GRADE CORP BD,,,,
"",,,,122916 385,,,,
12/29,Cash,DIVIDEND,,ISHARES JP MORGAN,ETF,,,18.15
"",,,,USD EMERGING MAKETS BOND,,,,
"",,,,122916 69,,,,
12/29,Cash,DIVIDEND,,ISHARES CORE U.S.,ETF,,,503.30
"",,,,AGGREGATE BOND,,,,
"",,,,"122916 2,024",,,,
"",,,,ALLOCATION ADVISORS/COMPASS ETF/ETF-CONSERVATIVE INCOME,,,,001 9Q 9Q39
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,,PRICE,AMOUNT
12/29,Cash,DIVIDEND,,ISHARES ETF,,,27.18
"",,,,7-10 YR TREASURY BOND,,,
"",,,,122916 165,,,
12/29,Cash,DIVIDEND,,ISHARES ETF,,,140.61
"",,,,INTERMEDIATE CREDIT BOND,,,
"",,,,122916 685,,,
12/29,Cash,DIVIDEND,,ISHARES ETF,,,46.64
"",,,,1-3 YEAR CREDIT BOND,,,
"",,,,122916 362,,,
12/29,Cash,DIVIDEND,,VANGUARD TOTAL BOND,ETF,,74.87
"",,,,MARKET,,,
"",,,,122916 441,,,
12/29,Cash,LT CAP GAIN,,VANGUARD TOTAL BOND,ETF,,5.03
"",,,,MARKET,,,
"",,,,122916 441,,,
12/29,Cash,SHRT TRM GAIN,,VANGUARD TOTAL BOND,ETF,,10.72
"",,,,MARKET,,,
"",,,,122916 441,,,
12/30,Cash,DIVIDEND,,POWERSHARES EM MAR,ETF,,67.95
"",,,,SOV DE PT,,,
"",,,,123016 548,,,
12/30,Cash,INTEREST,,BANK DEPOSIT SWEEP,,,0.24
"",,,,"123016 30,274.28000",,,
