DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT,BALANCES
12/01,,,,BEGINNING BALANCE,,,750.41
12/01,Cash,DIVIDEND,,GOLDMAN SACHS FINL,,16.71,
"",,,,SQUARE GOVT FD,,,
"",,,,"113016 65,724.16000",,,
"",,,,AS OF 11/30/16,,,
"",,,,CUSTOMCHOICE,,,001 PPR2 P31X
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT,BALANCES
12/01,Cash,DIVIDEND,,PRUDENTIAL SHORT-TERM,,139.99,
"",,,,CORPORATE BD FD INC,,,
"",,,,CLASS Z,,,
"",,,,"113016 5,888.82200",,,
"",,,,AS OF 11/30/16,,,
12/01,Cash,DIVIDEND,,PRUDENTIAL INVT PORT,,55.46,
"",,,,INC 17 TOTAL RETURN BD,,,
"",,,,FD CL Z,,,
"",,,,"113016 1,502.28700",,,
"",,,,AS OF 11/30/16,,,
12/01,Cash,DIVIDEND,,PRUDENTIAL FUNDS,,40.92,
"",,,,PRUDENTIAL CORE BOND FD,,,
"",,,,CLASS Z,,,
"",,,,"113016 2,172.94200",,,
"",,,,AS OF 11/30/16,,,
12/01,Cash,REINVEST DIV,16.71000,GOLDMAN SACHS FINL,,-16.71,
"",,,,SQUARE GOVT FD,,,
"",,,,REINVEST AT 1.000,,,
12/01,Cash,REINVEST DIV,12.68000,PRUDENTIAL SHORT-TERM,,-139.99,
"",,,,CORPORATE BD FD INC,,,
"",,,,CLASS Z,,,
"",,,,REINVEST AT 11.040,,,
12/01,Cash,REINVEST DIV,3.91400,PRUDENTIAL INVT PORT,,-55.46,
"",,,,INC 17 TOTAL RETURN BD,,,
"",,,,FD CL Z,,,
"",,,,REINVEST AT 14.170,,,
12/01,Cash,REINVEST DIV,4.16300,PRUDENTIAL FUNDS,,-40.92,
"",,,,PRUDENTIAL CORE BOND FD,,,
"",,,,CLASS Z,,,
"",,,,REINVEST AT 9.830,,,750.41
12/02,Cash,JOURNAL,,TO 85506561,,-547.01,203.40
"",,,,PREMIER MASTER,,,
12/07,Cash,SALE,-61.42900,DIAMOND HILL FDS,24.8700,"1,527.74",
"",,,,LARGE CAP FD CL I SHS,,,
12/07,Cash,SALE,-958.32000,GOLDMAN SACHS FINL,1.0000,958.32,
"",,,,SQUARE GOVT FD,,,
12/07,Cash,SALE,-46.46800,PRUDENTIAL SHORT-TERM,11.0600,513.94,"3,203.40"
"",,,,CORPORATE BD FD INC,,,
"",,,,CLASS Z,,,
"",,,,CUSTOMCHOICE,,,001 PPR2 P31X
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT,BALANCES
12/12,Cash,LT CAP GAIN,,PRUDENTIAL INVT PORT,,737.33,
"",,,,GROWTH FUND CLASS Z,,,
"",,,,120916 637.02100,,,
"",,,,AS OF 12/09/16,,,
