Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
01/11/16,Cash,Advisory Fee,,,-$170.00
01/12/16,BlackRock Liquidity TempFund,Sale,-170.000,$1.00,$170.00
01/29/16,BlackRock Liquidity TempFund,Dividend Reinvestment,1.170,$1.00,$1.17
02/16/16,U.S. Treas Note 02/15/24 2.75%,Interest,,,$357.50
02/16/16,U.S. Treas Note 02/15/16 4.5%,Interest,,,$607.50
02/16/16,U.S. Treas Note 02/15/16 4.5%,Sale,"-27,000.000",$1.00,"$27,000.00"
02/16/16,U.S. Treas Note 02/15/18 3.5%,Interest,,,$507.50
02/16/16,U.S. Treas Note 02/15/20 3.625%,Interest,,,$507.50
02/16/16,U.S. Treas Note 02/15/22 2%,Interest,,,$340.00
02/17/16,BlackRock Liquidity TempFund,Purchase,"29,320.000",$1.00,"-$29,320.00"
02/17/16,U.S. Treas Note 02/15/24 2.75%,Purchase,"5,000.000",$1.08,"-$5,411.72"
02/17/16,U.S. Treas Note 02/15/24 2.75%,Accrued Interest Purchased,,,-$1.13
02/17/16,U.S. Treas Note 02/28/21 2%,Purchase,"33,000.000",$1.03,"-$34,134.38"
02/17/16,U.S. Treas Note 02/28/21 2%,Accrued Interest Purchased,,,-$310.05
02/17/16,U.S. Treas Note 02/15/18 3.5%,Purchase,"3,000.000",$1.05,"-$3,163.47"
02/17/16,U.S. Treas Note 02/15/18 3.5%,Accrued Interest Purchased,,,-$0.87
02/17/16,U.S. Treas Note 02/15/20 3.625%,Purchase,"3,000.000",$1.10,"-$3,290.48"
02/17/16,U.S. Treas Note 02/15/20 3.625%,Accrued Interest Purchased,,,-$0.90
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
02/18/16,BlackRock Liquidity TempFund,Sale,"-46,313.000",$1.00,"$46,313.00"
02/29/16,U.S. Treas Note 02/28/21 2%,Interest,,,$330.00
02/29/16,BlackRock Liquidity TempFund,Dividend,,,$1.50
03/01/16,BlackRock Liquidity TempFund,Purchase,330.000,$1.00,-$330.00
03/02/16,BlackRock Liquidity TempFund,Purchase,1.500,$1.00,-$1.50
03/31/16,BlackRock Liquidity TempFund,Dividend,,,$0.46
