Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
01/04/16,BlackRock Liquidity TempFund,Purchase,41.750,$1.00,-$41.75
01/04/16,SCANA Corporation,Dividend,,,$49.05
01/04/16,"Textron, Inc.",Dividend,,,$1.00
01/05/16,BlackRock Liquidity TempFund,Purchase,50.050,$1.00,-$50.05
01/05/16,"Pulte Group, Inc.",Dividend,,,$6.30
01/06/16,BlackRock Liquidity TempFund,Purchase,6.300,$1.00,-$6.30
01/08/16,"Philip Morris International, Inc.",Dividend,,,$61.20
01/08/16,WhiteWave Foods Co,Sale,-10.000,$36.82,$368.22
01/11/16,BlackRock Liquidity TempFund,Purchase,61.200,$1.00,-$61.20
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
01/11/16,Cash,Advisory Fee,,,"-$2,641.60"
01/11/16,"Altria Group, Inc.",Dividend,,,$45.20
01/11/16,Walt Disney Co,Dividend,,,$14.20
01/12/16,BlackRock Liquidity TempFund,Sale,"-2,582.200",$1.00,"$2,582.20"
01/12/16,Bank of America Corp 07/12/16 3.75%,Interest,,,$843.75
01/13/16,BlackRock Liquidity TempFund,Purchase,"1,211.970",$1.00,"-$1,211.97"
01/15/16,JPMorgan Chase & Co 01/15/18 6%,Interest,,,"$1,200.00"
01/15/16,Liberty Property,Dividend,,,$76.00
01/15/16,PG&E Corp,Dividend,,,$9.10
01/15/16,Thermo Electron Corp,Dividend,,,$3.00
01/19/16,BlackRock Liquidity TempFund,Purchase,"1,288.100",$1.00,"-$1,288.10"
01/20/16,"Xcel Energy, Inc.",Dividend,,,$38.40
01/21/16,BlackRock Liquidity TempFund,Purchase,38.400,$1.00,-$38.40
01/22/16,"Colgate-Palmolive, Inc.",Purchase,20.000,$64.80,"-$1,296.12"
01/22/16,"Prudential Financial, Inc.",Purchase,2.000,$69.83,-$139.67
01/22/16,Synchrony Financial,Purchase,40.000,$28.88,"-$1,155.32"
01/22/16,"Time Warner, Inc.",Purchase,10.000,$71.04,-$710.45
01/25/16,Morgan Stanley 01/25/21 5.75%,Interest,,,"$1,150.00"
01/26/16,BlackRock Liquidity TempFund,Purchase,"1,150.000",$1.00,"-$1,150.00"
01/26/16,"Freeport-McMoRan, Inc. 03/15/23 3.875%",Accrued Interest Sold,,,$432.71
01/26/16,"Freeport-McMoRan, Inc. 03/15/23 3.875%",Sale,"-30,000.000",$0.42,"$12,600.00"
01/27/16,BlackRock Liquidity TempFund,Sale,"-3,301.560",$1.00,"$3,301.56"
01/27/16,Comcast Corporation,Dividend,,,$7.50
01/28/16,BlackRock Liquidity TempFund,Purchase,7.500,$1.00,-$7.50
01/29/16,BlackRock Liquidity TempFund,Purchase,"13,032.710",$1.00,"-$13,032.71"
01/29/16,"Mid-America Apt. Communities, Inc.",Dividend,,,$49.20
01/29/16,Xerox Corporation 05/15/18 6.35%,Accrued Interest Sold,,,$550.33
01/29/16,Xerox Corporation 05/15/18 6.35%,Sale,"-40,000.000",$1.07,"$42,665.20"
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
01/29/16,BlackRock Liquidity TempFund,Dividend Reinvestment,3.740,$1.00,$3.74
02/01/16,BlackRock Liquidity TempFund,Purchase,49.200,$1.00,-$49.20
02/01/16,"AT&T, Inc.",Dividend,,,$67.20
02/01/16,"AT&T, Inc. 02/01/18 5.5%",Interest,,,"$1,100.00"
02/01/16,JPMorgan Chase & Co,Dividend,,,$8.80
02/01/16,"Magna International, Inc.",Sale,-20.000,$34.18,$683.60
02/01/16,Simon Property Group LP 02/01/20 5.65%,Interest,,,"$1,130.00"
02/01/16,Teck Resources Ltd 02/01/23 3.75%,Interest,,,$562.50
02/01/16,Teck Resources Ltd 02/01/23 3.75%,Accrued Interest Sold,,,$9.38
02/01/16,Teck Resources Ltd 02/01/23 3.75%,Sale,"-30,000.000",$0.52,"$15,675.00"
02/01/16,"Verizon Communications, Inc.",Dividend,,,$62.15
02/02/16,BlackRock Liquidity TempFund,Purchase,"2,930.650",$1.00,"-$2,930.65"
02/02/16,CVS Health Corporation,Dividend,,,$12.75
02/03/16,BlackRock Liquidity TempFund,Purchase,"43,228.280",$1.00,"-$43,228.28"
02/03/16,"Lowe's Companies, Inc.",Dividend,,,$5.60
02/04/16,BlackRock Liquidity TempFund,Purchase,"16,373.580",$1.00,"-$16,373.58"
02/09/16,"Mastercard, Inc.",Dividend,,,$5.70
02/10/16,BlackRock Liquidity TempFund,Purchase,5.700,$1.00,-$5.70
02/11/16,"Apple, Inc.",Dividend,,,$17.16
02/12/16,BlackRock Liquidity TempFund,Purchase,17.160,$1.00,-$17.16
02/12/16,Hexcel Corporation,Dividend,,,$4.30
02/16/16,BlackRock Liquidity TempFund,Purchase,4.300,$1.00,-$4.30
02/16/16,"Goldman Sachs Group, Inc. 02/15/19 7.5%",Interest,,,"$1,312.50"
02/16/16,"National Retail Properties, Inc.",Dividend,,,$60.90
02/17/16,BlackRock Liquidity TempFund,Purchase,"1,373.400",$1.00,"-$1,373.40"
02/19/16,Starbucks Corporation,Dividend,,,$8.00
02/22/16,BlackRock Liquidity TempFund,Purchase,8.000,$1.00,-$8.00
02/22/16,"Welltower, Inc.",Dividend,,,$68.80
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
02/23/16,BlackRock Liquidity TempFund,Purchase,68.800,$1.00,-$68.80
02/24/16,Lockheed Martin Corp,Purchase,20.000,$214.56,"-$4,291.40"
02/24/16,Microsoft Corporation,Purchase,20.000,$50.78,"-$1,015.70"
02/24/16,Schlumberger Ltd,Purchase,10.000,$71.38,-$713.87
