Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
07/05/16,BlackRock Liquidity TempFund,Purchase,"1,372.430",$1.00,"-$1,372.43"
07/08/16,iShares Barclays TIPS Bond,Dividend,,,$86.50
07/11/16,BlackRock Liquidity TempFund,Purchase,86.500,$1.00,-$86.50
07/11/16,Cash,Advisory Fee,,,-$543.34
07/12/16,BlackRock Liquidity TempFund,Sale,-543.340,$1.00,$543.34
07/29/16,Blackrock High Yield Bond Portfolio A,Dividend,,,$353.05
07/29/16,BlackRock Liquidity TempFund,Dividend,,,$1.60
07/29/16,Federated Total Return Govt Inst,Dividend,,,$131.35
07/29/16,Nuveen High Yield Municipal Bond I,Dividend,,,$414.82
07/29/16,PIMCO Low Duration Instl,Dividend,,,$142.12
07/29/16,PIMCO Investment Grade Corp Bd Instl,Dividend,,,$246.81
07/29/16,T. Rowe Price Short Term Bond,Dividend,,,$67.86
08/02/16,BlackRock Liquidity TempFund,Purchase,"1,357.610",$1.00,"-$1,357.61"
08/05/16,iShares Barclays TIPS Bond,Dividend,,,$77.91
08/08/16,BlackRock Liquidity TempFund,Purchase,77.910,$1.00,-$77.91
08/31/16,BlackRock Liquidity TempFund,Dividend,,,$1.46
08/31/16,Federated Total Return Govt Inst,Dividend,,,$131.62
08/31/16,PIMCO Low Duration Instl,Dividend,,,$124.92
08/31/16,PIMCO Investment Grade Corp Bd Instl,Dividend,,,$243.46
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
08/31/16,T. Rowe Price Short Term Bond,Dividend,,,$69.87
08/31/16,Blackrock High Yield Bond Portfolio A,Dividend,,,$352.62
08/31/16,Nuveen High Yield Municipal Bond I,Dividend,,,$414.82
09/02/16,BlackRock Liquidity TempFund,Purchase,571.330,$1.00,-$571.33
09/06/16,BlackRock Liquidity TempFund,Purchase,767.440,$1.00,-$767.44
09/08/16,iShares Barclays TIPS Bond,Dividend,,,$70.65
09/09/16,BlackRock Liquidity TempFund,Purchase,70.650,$1.00,-$70.65
09/23/16,BlackRock Liquidity TempFund,Sale,"-14,569.740",$1.00,"$14,569.74"
09/23/16,BlackRock Liquidity T-Fund Mgmt,Purchase,"14,569.740",$1.00,"-$14,569.74"
09/29/16,Blackrock High Yield Bond Portfolio A,Sale,"-10,525.304",$7.60,"$79,992.31"
09/29/16,Federated Total Return Govt Inst,Sale,"-7,218.797",$11.23,"$81,067.09"
09/29/16,iShares Barclays TIPS Bond,Sale,-169.000,$116.49,"$19,686.39"
09/29/16,iShares iBoxx High Yield Corporate Bd,Purchase,542.000,$86.88,"-$47,089.40"
09/29/16,iShares Barclays Intermediate Crdt Bd,Purchase,"3,647.000",$111.49,"-$406,604.03"
09/29/16,iShares Barclays 10-20 Year Treas Bd,Purchase,130.000,$145.43,"-$18,905.90"
09/29/16,Nuveen High Yield Municipal Bond I,Sale,"-5,185.243",$17.84,"$92,504.74"
09/29/16,PIMCO Low Duration Instl,Sale,"-6,813.779",$9.90,"$67,456.41"
09/29/16,PIMCO Investment Grade Corp Bd Instl,Sale,"-7,459.704",$10.60,"$79,072.86"
09/29/16,T. Rowe Price Short Term Bond,Sale,"-11,177.376",$4.75,"$53,092.54"
09/30/16,BlackRock Liquidity T-Fund Mgmt,Purchase,"453,185.950",$1.00,"-$453,185.95"
09/30/16,BlackRock Liquidity TempFund,Dividend,,,$0.90
09/30/16,BlackRock Liquidity T-Fund Mgmt,Dividend,,,$0.16
09/30/16,Federated Total Return Govt Inst,Dividend,,,$126.50
09/30/16,PIMCO Low Duration Instl,Dividend,,,$37.18
09/30/16,PIMCO Investment Grade Corp Bd Instl,Dividend,,,$235.95
09/30/16,T. Rowe Price Short Term Bond,Dividend,,,$67.09
09/30/16,Blackrock High Yield Bond Portfolio A,Dividend,,,$363.35
Date Security Name,Transaction Type,Shares,,Transaction Price,Amount
09/30/16 Nuveen High Yield Municipal Bond I,Dividend,,,,$400.99
3This transaction reflects deductions of transaction fees charged by brokerage firms to offset fees collected by self regulatory organizations.,,,,,
