DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,,PRICE,AMOUNT,BALANCES
03/01,,,,BEGINNING BALANCE,,,,"21,609.58"
03/07,Cash,DIVIDEND,,ISHARES MBS ETF,,,202.68,
"",,,,030717 956,,,,
03/07,Cash,DIVIDEND,,ISHARES SHORT TERM ETF,,,45.89,
"",,,,NATIONAL MUNI BOND,,,,
"",,,,030717 580,,,,
03/07,Cash,DIVIDEND,,ISHARES ETF,,,100.48,
"",,,,U.S. PREFERRED STOCK,,,,
"",,,,030717 526,,,,
03/07,Cash,DIVIDEND,,ISHARES ETF,,,51.69,
"",,,,1-3 YR TREASURY BOND,,,,
"",,,,030717 966,,,,
03/07,Cash,DIVIDEND,,ISHARES ETF,,,87.20,"22,097.52"
"",,,,3-7 YEAR TREASURY BOND,,,,
"",,,,030717 663,,,,
03/20,Cash,WIRE TRANSFER,,INCOMING WIRE,,,"8,878.69","30,976.21"
"",,,,AMERICAN BANKERS INSURA,,,,
03/31,Cash,DIVIDEND,,POWERSHARES S&P 500 ETF,,,60.38,"31,036.59"
"",,,,HIGH DIV LOW VOLATILITY,,,,
"",,,,PORT,,,,
"",,,,033117 499,,,,
