DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
12/01,Cash,DIVIDEND,,AFLAC INC,,72.90
"",,,,120117 162,,
12/01,Cash,DIVIDEND,,PFIZER INCORPORATED,,114.56
"",,,,120117 358,,
12/01,Cash,INTEREST,,GRAND RIVER DAM AUTH OK,,270.60
"",,,,REV TXBL SER B B/E,,
"",,,,CPN 1.804% DUE 06/01/18,,
"",,,,DTD 10/23/14 FC 12/01/14,,
"",,,,"120117 30,000",,
"",,,,CUSIP 386442UL9,,
"",,,,,,001 87 87NY
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
12/01,Cash,INTEREST,,AT&T INC,,328.13
"",,,,SR UNSECURED,,
"",,,,CALLABLE,,
"",,,,CPN 2.625% DUE 12/01/22,,
"",,,,DTD 12/11/12 FC 06/01/13,,
"",,,,"120117 25,000",,
"",,,,CUSIP 00206RBN1,,
12/06,Cash,DIVIDEND,,SOUTHERN COMPANY/THE,,139.20
"",,,,120617 240,,
12/11,Cash,DIVIDEND,,CHEVRON CORPORATION,,122.04
"",,,,121117 113,,
12/11,Cash,DIVIDEND,,EXXON MOBIL CORP,,113.19
"",,,,121117 147,,
12/11,Cash,DIVIDEND,,UNITED TECHNOLOGIES CORP,,68.60
"",,,,121017 98,,
"",,,,AS OF 12/10/17,,
12/12,Cash,DIVIDEND,,JOHNSON & JOHNSON,,81.48
"",,,,121217 97,,
12/14,Cash,DIVIDEND,,HOME DEPOT INC,,80.10
"",,,,121417 90,,
12/14,Cash,DIVIDEND,,MICROSOFT CORP,,73.08
"",,,,121417 174,,
12/15,Cash,DIVIDEND,,MCDONALDS CORP,,102.01
"",,,,121517 101,,
12/15,Cash,DIVIDEND,,PRAXAIR INC,,105.53
"",,,,121517 134,,
12/15,Cash,DIVIDEND,,WASTE MGMT INC DEL,,86.70
"",,,,121517 204,,
12/21,Cash,DIVIDEND,,GENERAL MOTORS CO,,204.44
"",,,,122117 538,,
12/28,Cash,DIVIDEND,,PUBLIC STORAGE INC,,176.00
"",,,,REIT,,
"",,,,122817 88,,
12/29,Cash,DIVIDEND,,M & T BANK CORP,,56.25
"",,,,122917 75,,
"",,,,,,001 87 87NY
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
12/29,Cash,INTEREST,,STANDARD BANK DEPOSIT,,47.56
"",,,,"122917 442,012",,
