DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
02/01,Cash,DIVIDEND,,EATON VANCE SER II,,34.09
"",,,,INCOME FUND BOSTON CL I,,
"",,,,"013117 1,181.13800",,
"",,,,AS OF 1/31/17,,
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
02/01,Cash,DIVIDEND,,GOLDMAN SACHS TR,,0.62
"",,,,FINL SQUARE TREAS INSTRS,,
"",,,,FD INSTL CL,,
"",,,,"013117 1,910.64000",,
"",,,,AS OF 1/31/17,,
02/01,Cash,DIVIDEND,,JANUS INVT FD,,46.15
"",,,,FLEXIBLE BD FD CLASS I,,
"",,,,"013117 2,105.74500",,
"",,,,AS OF 1/31/17,,
02/01,Cash,DIVIDEND,,MFS SER TR X,,23.61
"",,,,EMERGING MKTS DEBT FD,,
"",,,,CLASS I,,
"",,,,013117 447.29300,,
"",,,,AS OF 1/31/17,,
02/24,Cash,INTEREST,,BANK DEPOSIT SWEEP,,0.92
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
02/01,Cash,REINVEST DIV,5.91800,EATON VANCE SER II,,-34.09
"",,,,INCOME FUND BOSTON CL I,,
"",,,,REINVEST AT 5.760,,
02/01,Cash,REINVEST DIV,0.62000,GOLDMAN SACHS TR,,-0.62
"",,,,FINL SQUARE TREAS INSTRS,,
"",,,,FD INSTL CL,,
"",,,,REINVEST AT 1.000,,
02/01,Cash,REINVEST DIV,4.48100,JANUS INVT FD,,-46.15
"",,,,FLEXIBLE BD FD CLASS I,,
"",,,,REINVEST AT 10.300,,
02/01,Cash,REINVEST DIV,1.62600,MFS SER TR X,,-23.61
"",,,,EMERGING MKTS DEBT FD,,
"",,,,CLASS I,,
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,,PRICE,AMOUNT
"",,,,REINVEST AT 14.520,,,
02/22,Cash,PURCHASE,283.33100,DEUTSCHE SECS TR,,11.7800,"-3,337.64"
"",,,,ENHANCED COMMODITY STRAT,,,
"",,,,FD INSTL CLASS,,,
02/22,Cash,PURCHASE,613.86500,DEUTSCHE SECS TR,,8.8600,"-5,438.84"
"",,,,GLOBAL REAL ESTATE SECS,,,
"",,,,FD INSTL CLASS,,,
02/22,Cash,PURCHASE,850.91700,EATON VANCE SER II,,5.7900,"-4,926.81"
"",,,,INCOME FUND BOSTON CL I,,,
02/22,Cash,PURCHASE,182.23200,FRANKLIN VALUE INVS TR,,58.1200,"-10,591.31"
"",,,,SMALL CAP VALUE FD,,,
"",,,,ADVISOR CL,,,
02/22,Cash,PURCHASE,"2,018.07000",GOLDMAN SACHS TR,,1.0000,"-2,018.07"
"",,,,FINL SQUARE TREAS INSTRS,,,
"",,,,FD INSTL CL,,,
02/22,Cash,PURCHASE,85.34500,HARBOR FD,,61.4100,"-5,241.05"
"",,,,INTL FD INSTL CL,,,
02/22,Cash,PURCHASE,348.33700,AMERICAN FUNDS,,42.7500,"-14,891.39"
"",,,,WASHINGTON MUTUAL FD F2,,,
02/22,Cash,PURCHASE,"1,699.31100",JANUS INVT FD,,10.3200,"-17,536.89"
"",,,,FLEXIBLE BD FD CLASS I,,,
02/22,Cash,PURCHASE,464.36800,LAZARD FDS INC,,17.5900,"-8,168.23"
"",,,,EMERGING MKTS PORT INSTL,,,
"",,,,SHS,,,
02/22,Cash,PURCHASE,399.06600,MFS SER TR I,,38.0700,"-15,192.46"
"",,,,VALUE FD,,,
"",,,,CL I,,,
02/22,Cash,PURCHASE,354.14200,MFS SER TR X,,14.6900,"-5,202.35"
"",,,,EMERGING MKTS DEBT FD,,,
"",,,,CLASS I,,,
02/22,Cash,PURCHASE,107.26200,AMERICAN FUNDS,,47.9000,"-5,137.85"
"",,,,EUROPACIFIC GROWTH FUND,,,
"",,,,FUND CLASS F-2,,,
02/22,Cash,PURCHASE,147.33000,OPPENHEIMER INTL GRWTH,,36.0300,"-5,308.29"
"",,,,FD CL Y SHS,,,
DATE,ACCOUNT TYPE,TRANSACTION,QUANTITY,DESCRIPTION,PRICE,AMOUNT
02/22,Cash,PURCHASE,592.81500,RIDGEWORTH FUNDS,14.4100,"-8,542.47"
"",,,,CEREDEX MID CAP VALUE,,
"",,,,EQUITY FUND CLASS I,,
02/22,Cash,PURCHASE,121.87700,T ROWE PRICE REAL EST,28.9100,"-3,523.45"
"",,,,FUND INC,,
02/22,Cash,PURCHASE,110.16900,T ROWE PRICE MID-CAP,80.8100,"-8,902.77"
"",,,,GROWTH FUND INC,,
02/22,Cash,PURCHASE,315.77900,TOUCHSTONE INSTL FDS TR,20.5400,"-6,486.10"
"",,,,SANDS CAP INSTL GROWTH,,
"",,,,FD,,
02/22,Cash,PURCHASE,919.02700,VIRTUS OPPORTUNITIES,9.8800,"-9,079.99"
"",,,,TR EMERGING MKTS OPPTYS,,
"",,,,FD CL I,,
02/22,Cash,PURCHASE,118.08700,VICTORY PORTFOLIOS,72.9700,"-8,616.79"
"",,,,RS SMALL CAP GROWTH FD,,
"",,,,CL Y,,
02/23,Cash,PURCHASE,491.17000,ADVISORS INNER CIRCLE,24.5900,"-12,077.88"
"",,,,EDGEWOOD GROWTH FUND,,
"",,,,INSTL CLASS,,
"",,,,AS OF 2/22/17,,
