Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
01/04/17,BlackRock Liquidity T-Fund Mgmt,Purchase,0.140,$1.00,-$0.14
01/04/17,iShares Rate Hedged Hi Yld,Dividend,,,$73.75
01/04/17,VanEck Vectors Fallen Angel ETF,Dividend,,,$75.18
"",,Long-Term Cap Gains,,,
01/04/17,VanEck Vectors Fallen Angel ETF,,,,$4.50
"",,Distribution,,,
"",,Short-Term Cap Gains,,,
01/04/17,VanEck Vectors Fallen Angel ETF,,,,$49.85
"",,Distribution,,,
01/05/17,BlackRock Liquidity T-Fund Mgmt,Purchase,203.280,$1.00,-$203.28
01/09/17,Cash,Advisory Fee,,,-$822.60
01/10/17,BlackRock Liquidity T-Fund Mgmt,Sale,-822.600,$1.00,$822.60
02/07/17,iShares Barclays 1-3 Yr Trs Bond,Dividend,,,$356.81
02/07/17,iShares Barclays 1-3 Yr Trs Bond,Purchase,117.000,$84.57,"-$9,894.69"
02/07/17,iShares iBoxx High Yield Corporate Bd,Dividend,,,$75.67
02/07/17,iShares Barclays Intermediate Crdt Bd,Dividend,,,$43.00
02/07/17,iShares 0-5 Year High Yield Corp ETF,Dividend,,,$83.43
02/07/17,VanEck Vectors Fallen Angel ETF,Dividend,,,$71.63
02/08/17,BlackRock Liquidity T-Fund Mgmt,Purchase,630.540,$1.00,-$630.54
02/08/17,iShares Rate Hedged Hi Yld,Dividend,,,$52.72
02/09/17,BlackRock Liquidity T-Fund Mgmt,Purchase,52.720,$1.00,-$52.72
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
02/10/17,BlackRock Liquidity T-Fund Mgmt,Sale,"-9,894.690",$1.00,"$9,894.69"
03/07/17,iShares Barclays 1-3 Yr Trs Bond,Dividend,,,$380.70
03/07/17,iShares iBoxx High Yield Corporate Bd,Dividend,,,$76.02
03/07/17,iShares Barclays Intermediate Crdt Bd,Dividend,,,$44.50
03/07/17,iShares 0-5 Year High Yield Corp ETF,Dividend,,,$82.96
03/07/17,VanEck Vectors Fallen Angel ETF,Dividend,,,$66.60
03/08/17,BlackRock Liquidity T-Fund Mgmt,Purchase,650.780,$1.00,-$650.78
03/08/17,iShares Rate Hedged Hi Yld,Dividend,,,$63.38
03/09/17,BlackRock Liquidity T-Fund Mgmt,Purchase,63.380,$1.00,-$63.38
03/24/17,iShares Barclays 1-3 Yr Trs Bond,Sale,"-3,846.000",$84.50,"$324,981.15"
03/24/17,iShares iBoxx High Yield Corporate Bd,Sale,-198.000,$86.70,"$17,166.29"
03/24/17,iShares Barclays Intermediate Crdt Bd,Purchase,444.000,$108.80,"-$48,307.20"
03/24/17,iShares Floating Rate Note Fund,Purchase,"1,901.000",$50.88,"-$96,722.88"
03/24/17,iShares Rate Hedged Hi Yld,Sale,-191.000,$89.89,"$17,168.62"
03/24/17,iShares 5 Yr Inv Gr Corp Bond,Purchase,"3,565.000",$50.37,"-$179,569.05"
03/24/17,iShares 0-5 Year High Yield Corp ETF,Sale,-362.000,$47.30,"$17,122.26"
03/24/17,PowerShares Senior Loan Port,Purchase,"2,984.000",$23.18,"-$69,169.12"
03/24/17,VanEck Vectors Fallen Angel ETF,Sale,-592.000,$29.05,"$17,197.44"
03/29/17,BlackRock Liquidity T-Fund Mgmt,Sale,-132.490,$1.00,$132.49
03/31/17,BlackRock Liquidity T-Fund Mgmt,Dividend,,,$0.52
